Test_name,Voltage (v),Pass/Fail,Time (s)
send_packet,1.62,passed,109.52861166000366
send_packet,1.8,passed,88.45413208007812
send_packet,1.98,passed,88.45405268669128
receive_packet,1.62,passed,123.56274247169495
receive_packet,1.8,passed,102.47511148452759
receive_packet,1.98,passed,102.47670340538025
uart,1.62,passed,60.739938497543335
uart,1.8,passed,39.3134982585907
uart,1.98,passed,39.31612968444824
uart_reception,1.62,passed,88.09895920753479
uart_reception,1.8,passed,67.03144311904907
uart_reception,1.98,passed,67.02962112426758
uart_loopback,1.62,passed,85.59605073928833
uart_loopback,1.8,passed,64.04661083221436
uart_loopback,1.98,passed,64.04697036743164
mem_dff2_W,1.62,passed,54.401554107666016
mem_dff2_W,1.8,passed,33.32782292366028
mem_dff2_W,1.98,passed,33.33136296272278
mem_dff2_test,1.62,passed,54.707008361816406
mem_dff2_test,1.8,passed,33.65031361579895
mem_dff2_test,1.98,passed,33.65049338340759
mem_dff2_halfW,1.62,passed,54.539525270462036
mem_dff2_halfW,1.8,passed,33.47485327720642
mem_dff2_halfW,1.98,passed,33.47051000595093
mem_dff_W,1.62,passed,54.510735750198364
mem_dff_W,1.8,passed,33.46914076805115
mem_dff_W,1.98,passed,33.467058181762695
mem_dff_test,1.62,passed,55.20563864707947
mem_dff_test,1.8,passed,34.155542612075806
mem_dff_test,1.98,passed,34.15848731994629
mem_dff_halfW,1.62,passed,54.813995599746704
mem_dff_halfW,1.8,passed,33.75769257545471
mem_dff_halfW,1.98,passed,33.76010775566101
cpu_stress,1.62,passed,71.51536512374878
cpu_stress,1.8,passed,49.48601508140564
cpu_stress,1.98,passed,49.48643445968628
timer0_oneshot,1.62,passed,59.94030475616455
timer0_oneshot,1.8,passed,38.884387254714966
timer0_oneshot,1.98,passed,38.88742661476135
timer0_periodic,1.62,passed,55.94601225852966
timer0_periodic,1.8,passed,39.85245442390442
timer0_periodic,1.98,passed,39.85120439529419
IRQ_external,1.62,passed,54.905216455459595
IRQ_external,1.8,passed,38.69025254249573
IRQ_external,1.98,passed,38.686469078063965
IRQ_external2,1.62,passed,54.88389229774475
IRQ_external2,1.8,passed,38.689472675323486
IRQ_external2,1.98,passed,38.68790602684021
IRQ_timer,1.62,passed,59.87730312347412
IRQ_timer,1.8,passed,38.80560111999512
IRQ_timer,1.98,passed,38.80936884880066
IRQ_spi,1.62,passed,60.35798907279968
IRQ_spi,1.8,passed,39.295413970947266
IRQ_spi,1.98,passed,39.29472494125366
IRQ_uart,1.62,passed,59.85277271270752
IRQ_uart,1.8,passed,38.79239535331726
IRQ_uart,1.98,passed,38.79394173622131
IRQ_uart_rx,1.62,passed,46.7564640045166
IRQ_uart_rx,1.8,passed,25.690498113632202
IRQ_uart_rx,1.98,passed,25.69523024559021
gpio_o_l,1.62,passed,53.19168734550476
gpio_o_l,1.8,passed,31.65717077255249
gpio_o_l,1.98,passed,31.65414810180664
gpio_o_h,1.62,passed,53.1994571685791
gpio_o_h,1.8,passed,31.643744945526123
gpio_o_h,1.98,passed,31.648868083953857
gpio_i_l,1.62,passed,152.8841667175293
gpio_i_l,1.8,passed,131.69637322425842
gpio_i_l,1.98,passed,131.6907365322113
gpio_i_h,1.62,passed,76.06321454048157
gpio_i_h,1.8,passed,54.75211715698242
gpio_i_h,1.98,passed,54.75286936759949
gpio_lpu_ho,1.62,passed,60.800604581832886
gpio_lpu_ho,1.8,passed,39.73527407646179
gpio_lpu_ho,1.98,passed,39.73410606384277
gpio_lpd_ho,1.62,passed,60.79767656326294
gpio_lpd_ho,1.8,passed,39.73199415206909
gpio_lpd_ho,1.98,passed,39.738808393478394
gpio_lo_hpu,1.62,passed,60.80654430389404
gpio_lo_hpu,1.8,passed,39.73531103134155
gpio_lo_hpu,1.98,passed,39.730931758880615
gpio_lo_hpd,1.62,passed,60.808213233947754
gpio_lo_hpd,1.8,passed,39.736133098602295
gpio_lo_hpd,1.98,passed,39.736351013183594
